what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368700967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368759480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368762945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368789469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368849742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368907059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368908366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368918778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368923330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388368966326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368968666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368984900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388368989287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388368991996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388368993621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388369003028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388369023565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388369025028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388369033644
error,log,,,"Error logged from Debug UI: ",1388369037360
error,log,,,"Error logged from Debug UI: ",1388369037361
error,log,,,"Error logged from Debug UI: ",1388369037363
error,log,,,"Error logged from Debug UI: ",1388369037364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388369037914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388369048866
